Date,Open,High,Low,Close,Volume,Log_Return,Hist_Volatility,True_Range,ATR,Weighted_Close,Momentum,MA7,MA30,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,RSI,Typical_Price,Money_Flow,Money_Flow_Positive,Money_Flow_Negative,Money_Flow_Pos_14,Money_Flow_Neg_14,Money_Flow_Index,Rolling_Mean,Bollinger_High,Bollinger_Low,Pct_Change_Close,Pct_Change_Volume
2021-03-03,48415.81640625,52535.13671875,48274.3203125,50538.2421875,53220811975,0.043664727693901485,0.761688229812664,4260.81640625,4342.543526785715,50471.4853515625,4349.7890625,47615.47265625,47053.388932291666,48912.06426136123,47140.61534958752,1771.4489117737103,2591.1810272442817,-819.7321154705714,47.16397807309299,50449.233072916664,2684949147656649.5,2684949147656649.5,0.0,2.2658348323865856e+16,3.4666331263992988e+16,39.526340987459804,49993.71875,57094.67880471004,42892.75869528996,4.463205996986197,11.970979989729514
2021-03-04,50522.3046875,51735.08984375,47656.9296875,48561.16796875,52343816680,-0.0399061221991278,0.7457190059881453,4078.16015625,4529.673549107143,49128.5888671875,3423.3984375,47825.08928571428,47488.418229166666,48858.08021634412,47245.841469525476,1612.2387468186425,2395.392571159154,-783.1538243405116,44.7859811637562,49317.729166666664,2581478174573889.0,0.0,2581478174573889.0,1.9965910265879692e+16,3.724780943856688e+16,34.89706729263395,50046.5345703125,57084.98852307695,43008.08061754805,-3.9120359814156846,-1.6478427563487053
2021-03-05,48527.03125,49396.4296875,46542.515625,48927.3046875,48625928883,0.007511420176535919,0.745311541889318,2853.9140625,4363.783482142857,48448.388671875,-703.9375,48194.73828125,47870.25872395833,48868.73013498349,47370.39430048655,1498.3358344969383,2215.9812238267114,-717.645389329773,36.6466578202507,48288.75,2348085323348966.0,0.0,2348085323348966.0,1.6517278018949508e+16,3.959589476191585e+16,29.435651559845343,50137.6240234375,57062.04836263617,43213.19968423883,0.7539701660092213,-7.102821369960521
2021-03-06,48899.23046875,49147.21875,47257.52734375,48912.3828125,34363564661,-0.0003050270395783075,0.744489591473511,1889.69140625,4293.142299107143,48557.3779296875,533.39453125,48583.87109375,48269.80260416667,48875.44593152449,47484.615671746804,1390.8302597776856,2050.951031016906,-660.1207712392206,36.107801060300176,48439.04296875,1664538185173598.0,1664538185173598.0,0.0,1.436041632122182e+16,3.959589476191585e+16,26.61489644667297,50147.3787109375,57063.92349153068,43230.83393034431,-0.03049805235605385,-29.330779996649547
2021-03-07,48918.6796875,51384.3671875,48918.6796875,51206.69140625,43137459378,0.0458396233606819,0.7522224317235588,2471.984375,4279.858258928572,50679.107421875,668.44921875,49450.85993303572,48705.21536458333,49234.09908148226,47760.32498541371,1473.7740960685478,1935.5156440272347,-461.74154795868685,38.14947663836393,50503.24609375,2178581726826277.8,2178581726826277.8,0.0,1.3571440066842142e+16,3.959589476191585e+16,25.52589876952306,50310.4603515625,57161.8655496064,43459.055153518595,4.690649814679793,25.532551129533122
2021-03-08,51174.1171875,52314.0703125,49506.0546875,52246.5234375,48597428048,0.020103136515502152,0.7515151095584222,2808.015625,3868.1180245535716,51578.29296875,3685.35546875,49824.47154017857,49137.899088541664,49697.54898240806,48092.63598186454,1604.9130005435145,1869.3951153304906,-264.4821147869761,45.98668058050512,51355.549479166664,2495747620679306.0,2495747620679306.0,0.0,1.6067187687521448e+16,3.4664699462956344e+16,31.670786540748914,50462.79296875,57345.634409072474,43579.951528427526,2.0306565464276005,12.657140102192876
2021-03-09,52272.96875,54824.1171875,51981.83203125,54824.1171875,50912227385,0.048156840253235314,0.76353457497987,2842.28515625,3434.229073660714,54113.5458984375,5896.8125,50745.20424107143,49668.58828125,50486.25178319144,48591.26421931902,1894.9875638724188,1874.5136050388764,20.473958833542383,63.87319894305355,53876.688802083336,2742982231042550.0,2742982231042550.0,0.0,1.8810169918564e+16,2.941899415189781e+16,39.00165031075955,50596.5484375,57717.225117693706,43475.8717573063,4.9335220420617,4.7632136719532925
2021-03-10,54824.01171875,57258.25390625,53290.890625,56008.55078125,57295577614,0.021374179798027783,0.7416280529493617,3967.36328125,3426.423828125,55641.5615234375,7096.16796875,51526.67689732143,49995.6578125,51335.83624443122,49140.69285353613,2195.143390895093,1938.63956221012,256.5038286849731,64.37329243977487,55519.231770833336,3181006452995436.0,3181006452995436.0,0.0,2.1991176371559436e+16,2.627224497226146e+16,45.56489316183743,50812.9861328125,58324.711836784976,43301.26042884002,2.1604243798385436,12.537951209105213
2021-03-11,55963.1796875,58091.0625,54484.59375,57805.12109375,56772343595,0.031573000390297756,0.7463740019595556,3606.46875,3337.2346540178573,57046.474609375,6598.4296875,52847.24162946428,50373.125,52331.110836634114,49782.502352811236,2548.608483822878,2060.6333465326716,487.9751372902065,75.3678079359367,56793.592447916664,3224305344447522.0,3224305344447522.0,0.0,2.5215481716006956e+16,2.3617108924554104e+16,51.63658406249414,50908.835546875,58735.546959302694,43082.12413444731,3.2076714848716215,-0.913218857003284
2021-03-12,57821.21875,57996.62109375,55376.6484375,57332.08984375,55689944702,-0.008216872853115568,0.698457138146461,2619.97265625,3244.665457589286,57009.3623046875,5085.56640625,54047.92522321428,50786.921875,53100.49222234425,50341.73105584374,2758.7611665005097,2200.258910526239,558.5022559742706,76.38470089470557,56901.786458333336,3168857341309596.0,3168857341309596.0,0.0,2.838433905731655e+16,7336245366961716.0,79.46213511004181,50970.4640625,58986.39213815283,42954.53598684718,-0.8183206626845796,-1.906560174301719
